ingilizce;Türkçe
"cozy
 ripe
mutters
grasp 
axe
strip 
bark
blow
sawdust
shaving
peep
wig
fountain
weep
jolly
flatter
somersaults
frail shin
fault";"rahat
olgun
mýrýldanýr
kavrayabilir
balta
þerit
kabuk
darbe
talaþ
týraþ
dikkat çekebilir
peruk
çeþme
aðlayabilir
neþeli
daha düz
taklalar
zayýf kaval kemiði
hata"
"crave 
deserve
leap";"Özlemek
Hak etmek
Sýçramak"
"cosy
 ripe
mutters
grasp 
axe
strip 
bark
blow
sawdust
shaving
peep
wig
fountain
weep
jolly
flatter
somersaults
frail shin
fault";"rahat
olgun
mýrýldanýr
kavrayabilir
balta
þerit
kabuk
darbe
talaþ
týraþ
dikkat çekebilir
peruk
çeþme
aðlayabilir
neþeli
yaltaklanabilir
takla atabilir
zayýf kaval kemiði
hata"
"cheat
hail
aware
awesome
surge
pace
portable 
projection
boots
fiscal
demand 
fiscal year";"hile
selam
farkýndalýk
harika
dalgalanma
hýz
taþýnabilir
projeksiyon
botlar
mali
talep
mali yýl"
"Semiconductor 
conductor 
 roll out
arrangement";"Yarý iletken
iletken
satýþ
düzenlemesi"
"in favor of
burnout
notion
pursue 
outgrow
commodified";"Tükenmiþlik
kavramý
peþinden koþmak
büyümek
metalaþtýrýlmýþ"
butterfly;kelebek
blind;kör
beggar;dilenci
creep;sürünme
delightful spot;keyifli bir yer
delightful;keyifli
linnet;keten kuþu
prosecuted;kovuþturuldu
trespassers;izinsiz girenler
pearls;inciler
delicate blossom of pink;pembe narin çiçek
delicate;narin
selfish giant;bencil dev
buckle;toka
gutter;oluk
cart-wheel;araba tekerleði
frown;kaþlarýný çatmak
pluck;koparmak
lean;eðilmek
ecstary;vecd
lingers;oyalanýyor
fainter;daha sönük
eastern sky;doðu gökyüzü
crimson;kýzýl
pang;sancý
fierce;þiddetli
"ledges 
nests
Puffin
extend
municipalities
earmarked 
propose
startle 
drown
rescue 
ladders";"çýkýntýlar
yuvalar
Patlýcan
uzatmak
belediyeler
özelleþtirilmiþ
önermek
korkutmak
boðmak
kurtarmak
merdivenler"
"demon
chart
passionate 
novelty
invention
disappoint 
fictional
all-genre
genre";"iblis
grafik
tutkulu
yenilik
icat
hayal kýrýklýðý
kurgusal
tüm türler
tür"
"modestly
multiply
significance
shorthand
circumstances";"mütevazý bir þekilde
çoðaltmak
önem
kýsayol
koþullar"
"supply chain
indefinitely
barely
due
dairy
raw material
wages";"tedarik zinciri
belirsiz
zar zor
vadesi
süt ürünleri
hammadde
ücretler"
Caribbean;Karayipler
"broth
chilled 
stir 
treat";"et suyu
soðutulmuþ
karýþtýrýlmýþ
ikram"
"Sharper
cognitive 
retirement 
postponing
dementia
sedentary
buildup 
berries 
grains
poultry";"Daha keskin
biliþsel
emeklilik
erteleme
demans
hareketsiz yaþam
birikim
meyveler
tahýllar
kümes hayvanlarý"
"mind
convenience
occurs
epidemic
counselor
tackling 
lease
basis";"zihin
kolaylýk
ortaya çýkar
salgýn
danýþman
mücadele
kiralama
temeli"
"mind
convenience
occurs
epidemic
counselor
tackling";"zihin
kolaylýk
ortaya çýkar
salgýn
danýþman
mücadele"
"thrillseeker
seeker
thrill
novelty
wear
welfare
speech
compliance
conformity
assume 
stimulation 
benevolence";"heyecan arayan
heyecan arayan
heyecan
yenilik
giyim
refah
konuþma
uyum
uyumluluk
varsayma
uyarlanma
iyilikseverlik"
"beryls
roar of cataract
pomegranate
dart
buried
flutter
lying
withered violets
sapphire
chill snow
crocodiles lie
mud
companions
cooing";"beril
çaðlayanýn kükremesi
nar
ok
gömülü
titreþim
yatan
solmuþ menekþeler
safir
soðuk kar
timsahlar yatýyor
çamur
yoldaþlar
gürültü"
"beryls
roar of cataract
pomegranate
dart
buried
flutter
lying
withered violets
sapphire";"beril
kataraktýn kükremesi
nar
ok
gömülü
titreþim
yatan
solmuþ menekþeler
safir"
"beryls
roar of cataract
garret
pomegranate";"beril
katarakt kükremesi
çatý katý
nar"
"coarse 
needle
seamstress 
satin
embroidering
fastened
pedestal
picks up
ruby
roofs
lantern
mast
sink
slumber
prospect
spirit
steeple
couches
throne
granite
bulrushes";"kaba
iðne
terzi
saten
nakýþ
sabitlenmiþ
kaide
toplayýcýlar
yakut
çatýlar
fener
direk
lavabo
uyku
umut
ruh
çan kulesi
kanepeler
taht
granit
sazlar"
"shape
misleading";"þekil
yanýltýcý"
"guest
eternal
intense 
workout
transfusions
entrepreneur
strict";"misafir
sonsuz
yoðun
egzersiz
kan nakli
giriþimci
sýký"
"approval
resign
sensitive
caution
influence
spread";"onay
istifa
hassas
dikkat
etki
yayýlma"
weeping;aðlayan
curious;meraklý
coquette;cilveli
Tire;Yorulmak
courtship;kur
low bow;alçak yay
diagnose;teþhis etmek
"burst
dread
weaker";"patlama
korku
zayýf"
breast;göðüs
l beg of you;Sana yalvarýyorum
harshly;sert bir þekilde
robbed;soyulmuþ
vainly;boþuna
weariness;yorgunluk
sheer weariness;saf yorgunluk
destiny;kader
false wretch;sahte sefil
false wretched;sahte sefil
scimitar;pala
executioner;cellat
chains;zincirler
astonishment;þaþkýnlýk
snatche;kapmak
treat;davranmak
feasting and rejoicing;ziyafet ve sevinç
grants;hibeler
napkin;peçete
desperate deed;umutsuz eylem
threaten;tehdit etmek
"revenue 
alienate 
controversy
stake
repel
in a row 
embracing
stealing";"gelir
yabancýlaþtýrmak
tartýþma
paylaþmak
geri püskürtmek
sýrada
kucaklaþmak
çalmak"
"decline
cognitive
preference 
shift work
blame";"düþüþ
biliþsel
tercih
vardiya çalýþmasý
suçlama"
devils;þeytanlar
faints;bayýlýr
threshold;eþik
bear;ayý
clasps;tokalar
rub;ovmak
cunning;kurnaz
girdle;kuþak
desires;arzular
forces;kuvvetler
unleash;salmak
"groom
sanctuary
primate";"damat
barýnaðý
primat"
"bid
disintegrate
juvenile
sculpt
mount";"teklif
parçalamak
gençlik
heykelleþtirmek
montaj yapmak"
"Calm 
Baths
chime
meditative
rim";"Sakinleþtirici
Banyo
Çaný
Meditatif
Çember"
"breed
spots
breeds 
dwindle
contribute";"üreme
noktalarý
cinsler
azalýr
katkýda bulunur"
"benchmark
negotiate
framework";"kýyaslama
müzakere
çerçeve"
"auctions
aggregator 
pioneering
rehearsal
induct
controversy
opposed 
conservative
rubber";"müzayedeler
toplayýcý
öncü
prova
baþlatma
tartýþma
karþý çýkan
muhafazakar
lastik"
"snowflake 
reputable 
domestic 
outlet";"Kar tanesi
saygýn
yerel
maðaza"
"comprehensive
infant
moral
concern
slaughter 
peer
peer reviewed";"kapsamlý
bebek
ahlaki
endiþe
katliam
akran deðerlendirmesi"
"caring
judge 
seem
satisfied";"þefkatli
yargýç
memnun
görünüyor"
"violation
commit
trait
arrogance 
capable
adventurous
outgoing
fit
curious";"ihlal
iþlemek
özellik
küstahlýk
yetenekli
maceracý
dýþa dönük
uyumlu
meraklý"
"Polyphenol
dish
stew
virgin
herbs
oregano
rosemary
basil 
thyme
turmeric 
cinnamon
Walnuts
chestnuts
almonds 
hazelnuts";"Polifenol
yemek
güveç
bakire
otlar
kekik
biberiye
fesleðen
kekik
zerdeçal
tarçýn
Ceviz
kestane
badem
fýndýk"
indeed;Aslýnda
"efficiency
expectancy 
weird
raw
dry
roll
appetizer
farmyard
snail
garlic 
parsley";"verimlilik
beklenti
tuhaf
çið
kuru
rulo
meze
çiftlik avlusu
salyangoz
sarýmsak
maydanoz"
"apprenticeship 
internship 
backlash 
Insects
livestock
heat 
trap 
greenhouse gas
deforestation";"çýraklýk
staj
tepki
Böcekler
hayvancýlýk
ýsý
tuzak
sera gazý
ormansýzlaþma"
bunch of raisins;bir demet kuru üzüm
kneeling;diz çökmüþ
beckon;çaðýrmak
"buzzword 
diagnosis
compensation
harassment";"moda sözcük
taný
tazminat
taciz"
"concentrated
condense
captivate
thrill
sequence
launch 
rumors 
spinoffs";"yoðunlaþmýþ
yoðunlaþtýrmak
büyülemek
heyecanlandýrmak
dizi
lansman
söylentiler
yan ürünler"
anchor;çapa
confused;kafasý karýþmýþ
astonished;þaþkýn
l double my security precaution now;þimdi güvenlik önlemlerimi iki katýna çýkarýyorum
precaution;önlem
trap;tuzak
cursed Island;Lanetli Ada
voyage;yolculuk
sail;denize açýlmak
waist;bel
waistcoat;yelek
breeches;pantolon
anniversary;yýl dönümü
Citron trees;Limon aðaçlarý
abundance;bolluk
coals;kömürler
flesh;et
feverish;ateþli
plundered;yaðmalanmýþ
barley;arpa
beside;yanýnda
tame;ehlileþtirmek
expeditions;seferler
powder;toz
provisions;hükümler
ladder;merdiven
stake;bahis
rows;satýrlar
l pitch two rows;l iki sýra attým
canvas;tuval
I have brought away  ship piece by piece.;Gemiyi parça parça götürdüm.
deserted;terk edilmiþ
I cast all the view.;Bütün manzarayý seyrettim.
shed tears;gözyaþý dökmek
"appearance
cub
strained
ambassador 
send-off
facility 
remain";"görünüm
yavru
gergin
büyükelçi
gönderme
tesis
kalmak"
"neat
examine
dialect
migration
bubble
whales 
Humpback 
blowing 
encounters";"temiz
incelemek
lehçe
göç
kabarcýk
balinalar
Kambur
üfleme
karþýlaþmalar"
contract;sözleþme
servants;hizmetçiler
me and the wells;ben ve kuyular
your passage home again;tekrar eve dönüþ yolculuðun
latitudes;enlemler
gunners;topçular
alcamies;Ýlacý
shot;atýþ
frequently;sýklýkla
Pirates;Korsanlar
chase;takip etmek
embrace;kucaklamak
brace;destek
businnes further;iþ daha da ileriye
row;sýra
we row to Winterton;Winterton'a kürek çekiyoruz
founder;kurucu
they will founders;onlar batacaklar
founders;kurucular
apparent;belirgin
worse;daha kötüsü
"promote
ingredient
dip
pour
puzzle
inflammation 
dairy
gut
acid
Fatty 
sensitive
violation
fine
desires 
Satisfied";"teþvik
malzeme
daldýrma
dökme
bulmaca
iltihaplanma
süt
baðýrsak
asit
Yaðlý
hassas
ihlal
ince
istekler
Memnun"
"decline
Unequal 
dealing";"düþüþ
Eþit olmayan

iþlem"
"Fertility
pressure
inequality 
division
domestic
workforce";"Doðurganlýk
baský
eþitsizlik
bölünme
yerli
iþgücü"
"imposes 
bury
blow
discharging 
dilute
compliance
resume
debate
basis 
remain";"empoze eder
gömmek
darbelemek
boþaltmak
seyreltmek
uyumluluk
özgeçmiþ
tartýþmak
temel
kalmak"
"abolish
perk
tempt
claim
purchase";"kaldýrmak
avantaj
baþarmak
talep etmek
satýn almak"
"Contaminate
dust 
brew
exposure
occupational";"Kirletmek
toz
demlemek
maruz kalma
mesleki"
"Plug
ground
circuit
compatible
annoye
relevant
willing";"Fiþ
toprak
devre
uyumlu
rahatsýz edici
ilgili
istekli"
"organ 
transplant
lifespan
spleen
immune
vital
mice";"organ
nakil
ömür
dalak
baðýþýklýk
hayati
fareler"
"perk
insurance
subsidy
mortgage 
relief
stress reliever
suck
appliances";"avantaj
sigorta
sübvansiyon
ipotek
rahatlama
stres giderici
emme
ev aletleri"
"disturb 
hands down
instinctual
annoyance
moisturizer";"rahatsýz etmek
el aþaðý
içgüdüsel
rahatsýzlýk
nemlendirici"
"fraction
applicants 
slog
slender
pat";"kesir
baþvuranlar
slog
ince
pat"
"craving
highlight
dairy
imported 
investigation
shellfish
overtook 
consume
completely 
mainstream 
establish";"özlem
vurgulamak
süt ürünleri
ithal
araþtýrma
kabuklu deniz ürünleri
geçti
tüketmek
tamamen
ana akým
kurmak"
"craving
highlight
dairy
imported 
investigation
shellfish";"özlem
vurgu
süt
ithal
araþtýrma
kabuklu deniz ürünleri"
"Spot
expat
threshold
prospects
promotion
overdue
due
labor
shortage 
abroad
excellent facilities
desirable";"Spot
gurbetçi
eþiði
olasýlýklar
terfi
gecikmiþ
vadesi gelmiþ
iþgücü
kýtlýðý
yurtdýþýnda
mükemmel olanaklar
arzu edilir"
"gossip
praise
flaw
mainstream 
Slang
queer 
pop 
audience
ballroom 
compete";"dedikodu
övgü
kusur
ana akým
argo
tuhaf
pop
izleyici
balo salonu
yarýþmak"
"mention
synonym
dignified
manner 
deserves 
serves
maintain
silence 
recruit 
Memes
supply
stamp";"bahsetmek
eþ anlamlýsý
saygýn
þekilde
hak ediyor
hizmet ediyor
sürdürmek
sessizlik
iþe almak
Memler
tedarik etmek
damga"
"prone 
cognition
conclusion
perceive
breakthrough";"eðilimli
biliþ
sonuç
algýlamak
atýlým"
"embarrassed
postpone";"utanmýþ
ertelemek"
"reunite
unite
discharged
charge
exemption
enhance";"yeniden birleþtirmek
birleþtirmek
boþaltýldý
þarj
muafiyet
geliþtirmek"
"prosecutor
public prosecutor
conduct
threat 
controversial
scholars 
propose
advocacy";"savcý
kamu savcýsý
davranýþ
tehdit
tartýþmalý
bilim insanlarý
önermek
savunma"
"outline
workload
bully
Marking";"taslak
iþ yükü
zorba
Ýþaretleme"
"diagnosis
Reveal 
cure
accurate
accuracy";"taný
Açýkla
tedavi
doðru
doðruluk"
"decaffeinated
auditory
processing
equality
literacy
vulnerable
recede
nomination
revive
inclusion";"kafeinsiz
iþitsel
iþleme
eþitlik
okuryazarlýk
savunmasýz
geri çekilme
adaylýk
canlandýrma
dahil etme"
"headache
proven";"baþ aðrýsý
kanýtlanmýþ"
"bank on
fortunes
pioneer
innovative
tariff";"bank on
fortunes
pioneer
innovative
tarife"
"administrative
labor
examining
concerns
exposed
proportion
Boost
Seeks";"idari
iþ
inceleme
endiþeler
ortaya çýktý
oran
Artýþ
Aramalar"
"administrative
labor
examining
concerns
exposed
proportion";"idari
iþ
inceleme
endiþeler
ortaya çýkan
oran"
"Distracted
Span
helplessness
psychiatrist
usage
regarde";"Dikkatsiz
Açýk
çaresizlik
psikiyatrist
kullaným
bakým"
"devote
disgrace
promotion
delighted
wrestler
prefecture";"adamak
utanç
terfi
sevinçli
güreþçi
prefektörlük"
"Discrimination
sigh
frustration
unfairly
fairly
diagnose
disorders 
nonverbal
case";"Ayrýmcýlýk
iç çekme
hayal kýrýklýðý
haksýzca
adilce
teþhis
bozukluklar
sözsüz
vaka"
"hydrate
biodegrade
trash";"nemlendir
biyolojik olarak parçala
çöp"
"reveal 
urine
Junk 
unit 
intake
digestion
consumption
accurately
markers";"ortaya çýkarmak
idrar
Çöp
birim
alým
sindirim
tüketim
doðru
iþaretleyiciler"
"reveal 
urine
Junk 
unit 
intake
digestion
consumption
accurately";"ortaya çýkarmak
idrar
Çöp
birim
alým
sindirim
tüketim
doðru bir þekilde"
"sail
make ends meet
pace
reflective
realize
release
ridiculous
neck 
paralyzed
tire";"yelken
geçimini saðlamak
hýz
yansýtýcý
farkýna varmak
serbest býrakmak
gülünç
boyun
felçli
lastik"
"autonomous
shortage
labor
convenience
In fact";"özerk
kýtlýk
iþgücü
kolaylýk
Aslýnda"
"rebrand
dismay
ubiquitous
vulnerable
sketch";"yeniden marka
dehþet
her yerde
savunmasýz
taslak"
"Legacy
certified
retreat 
treat
spirit
genuinely
remorseful 
sheepishly
easel 
decade
co-founded";"Miras
onaylý
inziva
tedavi
ruh
gerçekten
piþman
utanarak
þövale
on yýl
ortak kuruldu"
"demand
Compensation
disruptions
disrupt
claim
retraction
theatricality
pyramid";"talep
Tazminat
kesintiler
kesintiye uðratmak
iddia
geri çekilme
tiyatroculuk
piramit"
"devastating
sugarcane
controversial";"yýkýcý
þeker kamýþý
tartýþmalý"
"fallout
staple
crop
rein 
soaring
agriculture
resign 
supporters";"fallout
temel
mahsul
dizgin
yükselen
tarým
istifa
destekçiler"
"Debate
ancestor
descended
evolved
whale
violent 
attitudes 
shift";"Tartýþma
ata
türemiþ
evrimleþmiþ
balina
þiddetli
tutumlar
deðiþim"
"verbal
judge
rely
outpatient";"sözlü
yargý
güvenmek
ayakta tedavi"
"examine
vet
undergo
relevant
contribute
disapproves";"incelemek
veterinerlik yapmak
geçirmek
ilgili
katkýda bulunmak
onaylamamak"
"reputation
soak
bath
pier
installation 
prefecture
fascinating";"itibar
ýslatmak
banyo
iskele
kurulum
ilçe
büyüleyici"
reputation;itibar
"humorist
inflammation
lips";"mizahçý
iltihap
dudaklar"
"consolidation
appliances
fiscal year
tariff
lean";"konsolidasyon
cihazlar
mali yýl
tarife
yalýn"
"evolve
feathers
submerge
diving
ancestors";"evrimleþmek
tüyler
su altýnda kalmak
dalmak
atalar"
"induct
embrace
exploration
lasting 
spark
nominate
lounge
unveil
opaque
recline
interior";"indüksiyon
kucaklama
keþif
kalýcý
kývýlcým
aday gösterme
dinlenme salonu
ortaya çýkarma
opak
yaslanma
iç mekan"
"induct
embrace
exploration
lasting 
spark
nominate
arcade";"indüksiyon
kucaklama
keþif
kalýcý
kývýlcým
aday gösterme
arcade"
"pledge
philanthropic
corruption
malnutrition
vulnerable
particularly 
sustained
fortune
donation 
eradicate";"söz
hayýrsever
yolsuzluk
yetersiz beslenme
savunmasýz
özellikle
sürdürülebilir
servet
baðýþ
ortadan kaldýrmak"
"taboo
missionary
predecessor
bishop
conclave
Prevost";"tabu
misyoner
selef
piskopos
konklav
Prevost"
"Matcha 
antioxidants
Cognitive 
perception
incorporate";"Matcha
antioksidanlar
Biliþsel
algý
birleþtirmek"
"Debate
fallacy
direct
towards
abusive
discredit 
Critics";"Tartýþma
yanýlgýsý
doðrudan
doðrudan
kötüye
itibarsýzlaþtýrma
Eleþtirmenler"
"rose
expenditure
outlay
unity
reunify
disengagement
engagement
withdrawal
alliance
domestic
gross";"gül
harcama
harcama
birlik
yeniden birleþtirme
baðlantý kesme
baðlantý
geri çekilme
ittifak
yerli
brüt"
"cleanliness
cuisine";"temizlik
mutfak"
"retailer
compact
ridge
stacked
resemble
edge
pouring
concrete
commercial";"perakendeci
kompakt
sýrt
yýðýlmýþ
benzer
kenar
dökme
beton
ticari"
"stimulate
intense
chili
dismiss
saturated";"uyarmak
yoðun
acý biber
reddetmek
doymuþ"
"companionship
epidemic
autism
jerk
lonely
companions";"arkadaþlýk
salgýn
otizm
aptal
yalnýz
arkadaþlar"
"turnaround
condemned 
annexation
shoo-in
bravado";"dönüþ
kýnanmýþ
ilhak
shoo-in
cesaret"
"outages
scarcity
marvel
embrace
culminated
obstacle";"kesintiler
kýtlýk
harika
kucaklamak
doruk noktasýna ulaþtý
engel"
"disruptive
distracts
depletion
regulate
circadian
restlessness
hectic
rushed 
rubs
 rest of your life
uninterrupted";"bozucu
dikkati daðýtýr
tükenme
düzenleme
sirkadiyen
huzursuzluk
telaþlý
aceleci
ovuþturur
hayatýnýzýn geri kalaný
kesintisiz"
"demonstrate
crust
altitude
radiation
impending";"göstermek
kabuk
irtifa
radyasyon
yaklaþan"
"tribute
passed away recently
foundation
laid 
myth
Despite 
jail
Bible
credit";"haraç
yakýn zamanda vefat etti
vakýf
atýldý
mit
raðmen
hapishane
Ýncil
kredi"
"flaw
struggle
gap
prequel
themed
franchise";"kusur
mücadele
boþluk
önceki bölüm
temalý
franchise"
"Immune 
inflammation
germ";"Baðýþýklýk
iltihap
mikrop"
"forum
spark
blasphemy
widespread
debate
beak
bill
Sign
detect
compound
equivalent";"forum
kývýlcým
küfür
yaygýn
tartýþma
gaga
gaga
Ýþaret
tespit
bileþik
eþdeðer"
"praise
innovative
spirit
elegant";"övgü
yenilikçi
ruh
zarif"
"basement
furniture
preserve
permanent
commercially
disguise";"bodrum
mobilya
korumak
kalýcý
ticari olarak
gizlemek"
"press
credentials
streamlined
streamline
facial recognition
aviation";"basýn
kimlikler
basitleþtirilmiþ
basitleþtirilmiþ
yüz tanýma
havacýlýk"
"Moose 
graze 
pasture
solitary";"Geyik
otlatma
mera
yalnýz"
"Cease-and-Desist
Cease
Desist
supervises
decades
monopoly
desired
exploit
proof
allegation
preinstall
accused
manufacturers";"Cease-and-Desist
Cease
Desist
denetliyor
onyýllar
tekel
istenen
sömürülme
kanýt
iddia
önceden kurulum
suçlanan
üreticiler"
"trial 
Due
repetitive
upbeat
earbud";"deneme
Son
tekrarlayan
iyimser
kulaklýk"
"veiled 
unveiled 
envisions 
smoother 
carnivore
migratory
flea
tick 
nests
toxic fur";"örtülü
açýða çýkarýlmýþ
öngörüyor
daha pürüzsüz
etobur
göçmen
pire
kene
yuvalar
toksik kürk"
"Extinct
pigeon
bears 
surrogate mother
legends
ample
pups 
envision
outward
crouch
canister
unveiling";"Soyu tükenmiþ
güvercin
ayýlar
vekil anne
efsaneler
bol
yavrular
hayal et
dýþarýya doðru
çömelme
kutu
ortaya çýkarma"
"distilled
grain
wheat
chant";"damýtýlmýþ
tahýl
buðday
ilahi"
"thrilled
guaranteed
narrative
debut";"heyecanlý
garantili
anlatý
ilk"
"sharp
grain
wheat
crops
jogging";"keskin
tahýl
buðday
mahsuller
koþu"
"Manus
hails
praise
promising 
invitation
Despite 
tribe
Indigenous
measles
mumps 
rubella
immunity
reckless
intersection
jail 
amnesia
suffers
retrieve";"Manus
selamlýyor
övgü
umut verici
davet
Raðmen
kabile
Yerli
kýzamýk
kabakulak
kýzamýkçýk
baðýþýklýk
pervasýz
kesiþim
hapishane
hafýza kaybý
acý çekiyor
geri almak"
"toll
reach out
cope
mark
unless";"ücret
ulaþmak
baþa çýkmak
iþaretlemek
eðer deðilse"
"trick
embarrass
prank
terminate
domestic
take to
prefecture
accompanied
shortages 
fried 
assured";"hile
utandýrmak
þaka
sonlandýrmak
yerli
götürmek
ilçe
eþlik etmek
kýtlýklar
kýzarmýþ
güvence altýna almak"
"discard
rid
landfill
promote
awareness
 promote awareness
garment
April Fools Joke";"at
kurtul
çöp sahasý
teþvik et
farkýndalýk
teþvik et
farkýndalýk
giysi
1 Nisan Þakasý"
corporate;kurumsal
whisperings;fýsýltýlar
awful;berbat
cart;Sepet
"consequence
saturated fat
saturated
poultry
soluble
powder 
fortify
aware 
fatty 
oats
beans
barley
whole grains
snack foods 
geothermal
eco-friendly
spirits";"sonuç
doymuþ yað
doymuþ
kümes hayvaný
çözünür
toz
güçlendirmek
farkýnda olmak
yaðlý
yulaf
fasulye
arpa
tam tahýllar
atýþtýrmalýk yiyecekler
jeotermal
çevre dostu
içkiler"
"overall
overfished
chase";"genel
aþýrý avlanmýþ
kovalamaca"
"nutrient
substance 
intake
fiber
digestive 
sheep";"besin
madde
alým
lif
sindirim
koyun"
"specialized attorney
refund
windshield
crack
pest
Shut
incident 
statement
dead rat";"uzman avukat
iade
ön cam
çatlak
haþere
Kapat
olay
beyan
ölü fare"
persistence;ýsrar
self doubt;kendinden þüphe etmek
hesitated;tereddüt etti
desperate;çaresiz
narrated;anlatýlan
persua;ikna etmek
persuasions;iknalar
shy;utangaç
overwhelming;ezici
"docked
relief
hoist
hatch
 splashdown.
foolish
wisdom";"yanaþmýþ
rahatlama
kaldýrma
kapý
suya iniþ.
aptalca
bilgelik"
"take (something) by storm
remarkable 
fund
manufacturing 
division
purebred
shelter
breed
estimates";"(bir þeyi) fýrtýna gibi almak
dikkat çekici
fon
üretim
bölümü
safkan
barýnak
cins
tahminler"
"tuition
grant
expense
insurance
aid";"öðrenim ücreti
hibe
masraf
sigorta
yardým"
"imagination
engagement
engage
sweat 
consumption
regulation
agriculture
mind-boggling
boggle
move
concerns 
summit
ancient
absorb
lane
line
Up to 
cooling 
income";"hayal gücü
baðlantý
baðlantý
ter
tüketim
düzenleme
tarým
akýl almaz
þaþýrtýcý
hareket
endiþeler
zirve
antik
emmek
þerit
çizgi
Kadar
soðutma
gelir"
"textiles 
sustainability
wholesaler
incinerate
waste
reused
tapestry
landfill";"tekstil
sürdürülebilirlik
toptancý
yakma
atýk
yeniden kullanýlmýþ
goblen
çöp sahasý"
"Ainu Language
revive
broadcast
podcast
disappears";"Ainu Dili
canlandýr
yayýnla
podcast
kaybolur"
"supplements
tape
exposure
snore
weighted blankets";"takviyeler
bant
maruz kalma
horlama
aðýrlýklý battaniyeler"
"polluted 
regulation
respiratory
incorporate
estimates";"kirli
düzenleme
solunum
dahil
tahminler"
"duty
badge
bestow
porch
elderly
wilderness
beady eyes
snipe";"görev
rozet
baðýþla
veranda
yaþlý
vahþi doða
boncuk gözler
çulluk"
"blowout
invention
boots";"patlama
icat
botlar"
"defend
citizenship
mining
data mining
barren
weaker";"savunmak
vatandaþlýk
madencilik
veri madenciliði
kýsýr
zayýf"
"anyway 
tang 
infinite
chew
nut
divorce
heal
intervention
turning point
diagnosed 
gaps";"neyse
tang
sonsuz
çiðnemek
fýndýk
boþanma
iyileþme
müdahale
dönüm noktasý
teþhis edilmiþ
boþluklar"
